OPT_MSE_1000runs,OPT_W_Weights_MSE_1000runs,RAND_MSE_1000runs,RAND_W_Weights_MSE_1000runs
5972.027337846399,3449.0305347122057,7077.378968608092,7077.378968608092
4117.97413201348,9130.758184285532,4219.278249003693,4219.278249003693
2975.036273935066,2973.5328920390775,2975.2325936999696,2975.2325936999696
4405.09815639915,7298.108339235854,4273.888323155572,4273.888323155572
9058.920491817958,6835.474831925816,9321.62122345552,9321.62122345552
3081.7274599245397,6154.133156756704,3012.092798213088,3012.092798213088
4552.8944013871405,13126.517739561546,4457.438942388566,4457.438942388566
3719.744638302459,4106.143024049408,3798.058453050564,3798.058453050564
3412.64502642545,4237.981272927632,3505.5168233964505,3505.5168233964505
11101.802389032773,8300.761268159307,9573.177032887803,9573.177032887803
9212.328581536554,6929.6923208681765,8347.900726300883,8347.900726300883
3105.3478730567626,4199.911496956361,3019.0432386058515,3019.0432386058515
3651.2459531119716,5010.188608167571,3627.2952698948293,3627.2952698948293
5930.657606425947,8794.127105483622,5740.076411030565,5740.076411030565
6184.379749676805,4581.026981502427,6345.972161816335,6345.972161816335
6214.931474278726,7603.731001557835,7047.420551896834,7047.420551896834
3486.3848910122947,9551.1522005935,3693.4906056701952,3693.4906056701952
3323.865477851895,4365.76044878873,3262.448851393423,3262.448851393423
3353.1854922135535,4657.408821915917,3509.6816571432296,3509.6816571432296
3290.7292309845943,7635.544156242111,3455.5510460354744,3455.5510460354744
5099.323138086001,8040.278197572956,4742.486082554915,4742.486082554915
6451.221075465866,7997.920025191035,7851.210728599394,7851.210728599394
6483.619726612306,3753.8665150415777,4995.823219767956,4995.823219767956
3770.5256118015677,4741.82364129144,4372.841391974727,4372.841391974727
3945.8524919269375,7191.562047969004,3848.91848412215,3848.91848412215
3673.6610061154256,4490.406466422088,3567.146218476554,3567.146218476554
6657.678441265821,8409.251716736417,6211.047622044685,6211.047622044685
5919.374446426819,15291.444233455622,5273.964837936068,5273.964837936068
4093.346242804814,7491.999087203886,3626.2106137352703,3626.2106137352703
3323.7002354822616,8222.30371945765,2542.305526827661,2542.305526827661
3670.9853446856036,4744.714137582293,4811.925565312423,4811.925565312423
4411.918080667647,13070.603538451387,4122.971561484327,4122.971561484327
3119.7874230374596,6174.43928389076,3052.9733332662995,3052.9733332662995
3690.1607890883947,6544.154877431971,4964.052386785612,4964.052386785612
6323.714319938236,3722.5669753000293,5676.790653967646,5676.790653967646
3325.411585186768,4717.400845723473,3536.8594927365184,3536.8594927365184
4486.233733976334,11368.27554413278,4722.456023168242,4722.456023168242
9123.433568859351,5721.409675560475,9444.238773615865,9444.238773615865
4113.576781578153,4526.284457560066,4126.593619974192,4126.593619974192
3022.9666268027704,3892.0024014174714,2712.9995399443233,2712.9995399443233
4766.494886860806,9630.35601035864,4847.031084436782,4847.031084436782
3549.0673116157504,8445.141740688974,3844.1851763400114,3844.1851763400114
4020.0465027823484,9703.048489414112,4067.2075264035934,4067.2075264035934
3453.7857208736573,5295.470412206453,3509.4018731862625,3509.4018731862625
4085.73643757679,6494.3032772444585,4242.021433445855,4242.021433445855
6224.301514452276,6855.7405421982185,5517.185040224954,5517.185040224954
4259.135180143429,13861.331114358592,7013.760476528452,7013.760476528452
2819.68294571098,3816.3092627300753,2625.881534177071,2625.881534177071
3918.379395506243,6707.385422771239,3165.502940685326,3165.502940685326
3964.550215411823,5027.837081810534,4152.412729848136,4152.412729848136
6931.955503112787,10179.479942006947,5704.971641470808,5704.971641470808
3667.3924335689235,3971.296370069539,3908.660350846497,3908.660350846497
4617.327196181947,4427.19229428766,4412.995971704849,4412.995971704849
3789.9333078554178,4987.5938568756055,3824.618476797087,3824.618476797087
8832.85218719087,6672.348153570577,7230.558421811378,7230.558421811378
3248.1824682804236,4516.801556422919,3224.394787441545,3224.394787441545
4039.125002318202,7533.982690916357,4427.342551056177,4427.342551056177
2519.869361207361,4374.545376968256,2684.2423380052082,2684.2423380052082
4244.7676329509595,9802.147882919196,4297.963827306416,4297.963827306416
3109.120518157488,4464.246606539395,2708.204318847306,2708.204318847306
11686.950991864438,9118.079185073106,12509.430356904551,12509.430356904551
6018.831074166032,8446.656093211157,5976.777011697307,5976.777011697307
2995.1834316824293,4460.702164250552,2875.2743734569867,2875.2743734569867
13178.894415539573,9246.228389225402,12769.02113968096,12769.02113968096
5855.794235812889,6200.626144895129,6177.103882306764,6177.103882306764
6573.594935818162,8490.687942904196,6608.113175021109,6608.113175021109
4352.889565590295,11098.938213980986,4499.42448615122,4499.42448615122
3263.0936144519496,5757.0654044985,2710.2164350827943,2710.2164350827943
6492.125420472703,8637.442513452577,5756.9761710792745,5756.9761710792745
3679.9185109992027,11970.97437670974,2998.923743872531,2998.923743872531
6384.053595830534,11238.017521638745,6226.154537341627,6226.154537341627
3191.349332150602,6994.531486843106,2543.1340355355246,2543.1340355355246
3157.8949201842997,3453.0925614525186,2756.0982486593484,2756.0982486593484
4530.5042186486635,7915.678151926094,4328.562319505765,4328.562319505765
3231.746779341145,4511.2138156657,3248.0916680515415,3248.0916680515415
15107.31850648891,10807.823336022095,14208.288485577845,14208.288485577845
2730.6277824851254,4191.115726266056,2682.6295284918597,2682.6295284918597
4293.405086772844,11099.534967994785,5067.03776970464,5067.03776970464
7142.983660111011,8292.319789290304,6255.084750132389,6255.084750132389
3615.3697616654063,5112.6543197873125,3680.6520866531987,3680.6520866531987
3901.775500790957,10213.532901628121,4598.179628483586,4598.179628483586
6898.394134132014,9383.999290520533,7020.8741886097105,7020.8741886097105
3806.6056599790227,11158.216428496948,3338.218405589347,3338.218405589347
3170.9526687312327,4197.443192332435,3058.4701157561776,3058.4701157561776
3587.5327066224286,5142.129388105588,3652.548796530007,3652.548796530007
3740.742689969432,7397.821183061729,3837.282790495517,3837.282790495517
6261.089243727302,5294.6313326648715,5245.009098715914,5245.009098715914
2866.630855507893,3142.830689397564,2612.959112687509,2612.959112687509
9035.428042119564,8167.355462701053,9419.099882414142,9419.099882414142
9141.166628384255,7554.841392482782,9988.286729751682,9988.286729751682
3750.9104071408374,4966.100589358514,4030.3522047532856,4030.3522047532856
3330.887903400174,3501.4314546355217,3015.7470086171606,3015.7470086171606
2585.0469691569388,4113.638837936284,2407.261500191832,2407.261500191832
3531.0867103063265,4463.5573661341205,4236.171405323241,4236.171405323241
2429.8796183831187,4972.243193411667,2405.326591076546,2405.326591076546
3936.1763180132534,9890.066519080372,4144.346664933228,4144.346664933228
9840.638215279187,8427.718191730375,10208.145353445876,10208.145353445876
4336.290683392606,4294.471707520356,4094.891903151925,4094.891903151925
3598.9996796956657,9533.96317868584,2982.3486680236333,2982.3486680236333
3975.120014693583,5402.46389292257,3910.423291624872,3910.423291624872
2863.433408909856,4128.4580964890165,2542.8672230106768,2542.8672230106768
3745.7252319319896,8844.093720001572,3409.980206161538,3409.980206161538
3161.464207554661,5908.267368956813,3098.369145975274,3098.369145975274
3896.999251532371,8860.441606557619,3712.5901790756457,3712.5901790756457
6152.638568392682,9652.854830698618,5310.380339506234,5310.380339506234
3579.556634322831,3777.4433541662265,4700.628764840112,4700.628764840112
9328.476520845928,5834.094836860937,10176.151232405156,10176.151232405156
3223.0589581051436,3533.572737666176,3283.4347524465943,3283.4347524465943
10794.146984968855,6013.870377715155,9350.599423532884,9350.599423532884
2959.4042886886346,4027.3215405946635,2384.4957410271054,2384.4957410271054
8788.656437951951,8442.212944282093,9429.226726591609,9429.226726591609
9473.094731286425,6920.93212785613,8172.3082663659325,8172.3082663659325
2697.706637209465,8302.873833928945,2786.304606958816,2786.304606958816
3321.117387978577,4489.515576459043,3148.245007951179,3148.245007951179
3029.4140290490227,4832.125550230541,3545.6156542758067,3545.6156542758067
4218.192349768094,4457.910870787888,4472.349726607737,4472.349726607737
4956.523343730455,10634.268792696274,4510.113164336341,4510.113164336341
3143.1044918456914,3838.0156913091687,3658.2279817102044,3658.2279817102044
6472.627582229426,5372.110639318053,6835.673931140535,6835.673931140535
3287.3673169971667,9537.976953031528,2887.9426967384475,2887.9426967384475
4838.827120726423,9321.663247743805,4517.320547403889,4517.320547403889
3262.668285208595,7892.7624101377805,3411.6359645623197,3411.6359645623197
3907.8088790052825,6032.235269090587,3993.478865715881,3993.478865715881
8859.407678336236,6492.045399317418,7687.918189057472,7687.918189057472
3791.0396048773305,10042.613056367,3927.417504709056,3927.417504709056
12882.795767731024,4789.922716322121,10393.513329326579,10393.513329326579
3396.5362509573897,3665.6586224861,3341.5146725306236,3341.5146725306236
6113.045087345327,6566.67087614086,5874.8819840433725,5874.8819840433725
3451.516599524901,4801.786195832548,3391.49662966038,3391.49662966038
3095.9114094132856,4746.9394492808215,3029.732663495463,3029.732663495463
4300.924344801216,7577.724240714674,4042.256504766302,4042.256504766302
6001.240296699512,8079.703739771091,4726.838521016964,4726.838521016964
3828.2888080800303,5344.36168617636,3809.8930225014933,3809.8930225014933
3136.2619068456975,4334.521865579098,2844.413451239552,2844.413451239552
3111.6192017279345,6310.13465094377,2633.379454544266,2633.379454544266
4635.373666316809,6791.495509666197,4799.083940963242,4799.083940963242
3374.212149392725,3214.474492822272,3892.7496679549936,3892.7496679549936
3336.5581376883238,4721.116493587453,2664.4002222703903,2664.4002222703903
6856.438407408187,6389.832824506331,7235.483266832754,7235.483266832754
6763.095969432951,16577.48489025661,6517.660573826002,6517.660573826002
2816.139162607093,6479.792210683378,3200.020802189187,3200.020802189187
4147.482340787985,13131.59724223389,4860.899304221698,4860.899304221698
3503.5347820091783,3943.84500731835,3440.654777238745,3440.654777238745
3640.952228498538,4779.266341799581,3345.1457650826433,3345.1457650826433
6428.884330172311,10301.985006572066,5522.688106229527,5522.688106229527
4223.532473689094,4518.542248647081,3913.307571258172,3913.307571258172
3854.5450581973296,10021.103284225022,4161.00342822292,4161.00342822292
6067.101487362686,8768.422998120559,7578.040695591216,7578.040695591216
6615.317985298239,9122.776316588324,6614.116027416894,6614.116027416894
6082.277042977821,3984.600832639048,6474.902596169731,6474.902596169731
2983.007563524476,3173.4953507763116,2566.7103046012076,2566.7103046012076
3208.623735106219,4942.512448656433,2684.703275244415,2684.703275244415
6485.209110273885,8037.41497852616,6526.463786958683,6526.463786958683
3668.683452652046,7676.082395977234,3667.7286088751202,3667.7286088751202
3343.896567635873,3506.5735139899066,2979.1837215112473,2979.1837215112473
3346.146008046472,7189.366521677766,3334.3203189518963,3334.3203189518963
3451.4120147641265,4569.110460154929,3168.626980315621,3168.626980315621
2497.405141128549,9422.272101140847,3952.9882734081048,3952.9882734081048
4438.926389243372,7501.880973396465,5551.2202972207915,5551.2202972207915
9061.930335278774,8159.811548491563,9170.920391594664,9170.920391594664
9296.868758420975,8841.798921026442,10132.594293542072,10132.594293542072
5279.624423352849,5132.975346013002,5291.716164185623,5291.716164185623
3682.2580826746957,3922.9014264015063,3456.735378612107,3456.735378612107
9132.3492948147,5658.327837129431,10864.203387962101,10864.203387962101
9392.616895852636,7066.289519649728,10439.409704633956,10439.409704633956
3466.543471176545,6091.566810980665,3574.117213091464,3574.117213091464
3348.563990491109,4521.528395147492,3391.340830647182,3391.340830647182
3314.791568178276,5001.521807155404,3477.110732462067,3477.110732462067
2930.347961119636,9601.030591271065,3235.4929810168555,3235.4929810168555
5884.967014710672,10204.956648673575,5830.330919272729,5830.330919272729
4055.8467496775384,4779.89704845349,3965.621970269828,3965.621970269828
3729.720482550718,8514.422302026565,4364.199953993737,4364.199953993737
3446.399737686374,4379.998294410759,3879.8109404995,3879.8109404995
3704.940736438153,9430.212256507468,4066.5884036160837,4066.5884036160837
3473.9098430543504,10330.077887522824,3065.1369872142927,3065.1369872142927
9281.097821888794,5773.827378783664,9307.715506178996,9307.715506178996
4199.116644238449,10920.117101474467,3984.2792610924157,3984.2792610924157
11006.700205883622,9315.638422425856,11089.743170512249,11089.743170512249
3992.1394315294083,13592.623462148293,2510.55727203479,2510.55727203479
3662.7889439826554,4835.352091715419,3566.4860961584177,3566.4860961584177
2842.222190968066,7220.07820281652,2585.0531956340137,2585.0531956340137
2676.206366429334,7872.657689139673,2319.7245801100366,2319.7245801100366
2772.8199933164265,3075.9318201744586,2534.1945724521984,2534.1945724521984
3604.720910408907,9418.783708604957,3352.1566538930188,3352.1566538930188
6863.273099624674,7351.533499388519,7955.832095377663,7955.832095377663
2989.013222312326,3800.5665049718414,2828.7559343254293,2828.7559343254293
4299.569967264302,5669.369783652178,4119.192887607009,4119.192887607009
4614.768735307614,6781.79898570487,4887.646443079209,4887.646443079209
3602.327282290432,4893.706355109678,3399.69008841479,3399.69008841479
8962.437367289516,5711.963233797781,9252.085304329497,9252.085304329497
3293.2143325406414,5366.09512147334,3135.693576409426,3135.693576409426
2858.481058041205,3108.5025173602057,3184.3299734300604,3184.3299734300604
9310.87011085002,6270.590176616084,10494.84933804421,10494.84933804421
6453.380341642735,11041.883902676513,6271.306218802096,6271.306218802096
4667.755400507921,8360.535591227417,4412.61403450644,4412.61403450644
9423.648743274722,6814.574933974882,9766.618336605625,9766.618336605625
3561.095143467078,4967.680862176719,3427.1479436293607,3427.1479436293607
6541.543786885087,4993.17184242886,5152.739283825211,5152.739283825211
3437.880561221018,4751.137025281833,4275.805936615087,4275.805936615087
3521.5148245217597,5638.272899378212,3846.427089071784,3846.427089071784
6498.128182512113,6478.708031557944,7104.351189524289,7104.351189524289
3503.930525368003,6487.17670581679,3170.3208277091917,3170.3208277091917
9371.699365792136,7908.49186894195,8511.982957451139,8511.982957451139
5367.421340475481,6936.1102278993685,5349.733910016633,5349.733910016633
10613.664199093339,10244.461568399365,9298.680356801975,9298.680356801975
6236.793136518881,12303.509118279011,6864.892350942897,6864.892350942897
3519.6934399236598,3748.8878058135056,3546.729344544698,3546.729344544698
6097.725608993693,9385.713988292022,6878.975195590539,6878.975195590539
4622.701126524081,5718.794888931147,4715.001703464591,4715.001703464591
3922.247568920017,10237.986677962774,4056.7693341087897,4056.7693341087897
6441.617774163794,5570.403661712108,7233.481465201118,7233.481465201118
4781.770883553331,9088.47497508931,5247.072917618194,5247.072917618194
4142.47096414492,6542.923879518367,3599.0643149881917,3599.0643149881917
4041.4078161335415,5887.027411665252,4468.5086102158775,4468.5086102158775
