rand_beta,rand_w_weights_beta,opt_beta,opt_w_weights
"[-0.09945336526990037, -0.06882103091201906]","[-0.1526587493436348, -0.19660015554067636]","[-0.08172367530925226, -0.011257938903313792]","[-0.18873187020891688, -0.2094360363660851]"
"[-0.1038535350109104, -0.013690168612925772]","[-0.19931708468968945, -0.2306561511384214]","[-0.09157206269044606, -0.007598279699638333]","[-0.20576105823883795, -0.23036060401460914]"
"[-0.10727548133020565, -0.012785817036430393]","[-0.1742773358353136, -0.1970886353745515]","[-0.0890229978528432, -0.006983237970571239]","[-0.1927521273793029, -0.21524741415981843]"
"[-0.1030678874511019, -0.010065858450319683]","[-0.18064221177339002, -0.20471217808353462]","[-0.08509465995059057, -0.004703313814283304]","[-0.18147488231801967, -0.19453234513241496]"
"[-0.10323106233327846, -0.01032983725293531]","[-0.17482119777372918, -0.19815026961459659]","[-0.06594133699096418, 0.003983735027181681]","[-0.19696347209065176, -0.22775536612619282]"
"[-0.08328949129840917, 0.013073366007853547]","[-0.15149633745886887, -0.14658507078022556]","[-0.08710900577824952, -0.007019771552228923]","[-0.19331834141080848, -0.21703488553126646]"
"[-0.12548124222837476, -0.037917482328492]","[-0.1872342942567745, -0.19928810249722342]","[-0.08389965383419325, -0.006937422677679829]","[-0.18567049279986234, -0.20159873740377468]"
"[-0.09617200685764823, -0.04897063691027269]","[-0.1837576166180798, -0.2274877724580757]","[-0.0763284098539938, -0.010111227865574507]","[-0.1937017195702999, -0.23576591676313827]"
"[-0.05392769745908864, 0.01310786269438098]","[-0.1382128647757533, -0.1455469749296834]","[-0.07345786058351453, 0.014293490789313721]","[-0.19257698598983988, -0.20992705091881972]"
"[-0.10465019900704167, -0.011349580001010318]","[-0.1951226109065775, -0.21096453839853338]","[-0.07468240014734859, 0.009889431639232936]","[-0.19324385356084586, -0.21389461914338212]"
"[-0.07690944994722254, 0.0058263283746535655]","[-0.17503405465300453, -0.19396293050907734]","[-0.07112281294599916, 0.004070853036301957]","[-0.21201887625168506, -0.23346984927923636]"
"[-0.10275696275645028, -0.010336047361331369]","[-0.20319748900022985, -0.24037904943425337]","[-0.08099914669426529, -0.0026119020431449773]","[-0.18919854886865264, -0.21573460156155017]"
"[-0.11389234807279432, -0.03815761020993362]","[-0.198821028383498, -0.20902075233791037]","[-0.09978392649744543, -0.022935272541848847]","[-0.20059024384502877, -0.2133881018456392]"
"[-0.10311136583920354, -0.07484938711355069]","[-0.17307011368118236, -0.20277042661807532]","[-0.07212534317341998, -0.004986426924965578]","[-0.18577735758496092, -0.21202569593500337]"
"[-0.10597991664072823, -0.0067453100414646425]","[-0.20348314716415375, -0.23976331804218595]","[-0.08894305351036413, -0.016768118762745608]","[-0.18928720528683907, -0.20938477849264542]"
"[-0.09640602794180443, -0.017361666955646386]","[-0.16149483612308263, -0.221240836765679]","[-0.0879025299535977, -0.02335120819707835]","[-0.17795937717366364, -0.2105420073079023]"
"[-0.09746535992352678, -0.04383159239900717]","[-0.17704610121422565, -0.2248299137280175]","[-0.06941494786168434, -0.005640296570685121]","[-0.20374635004077044, -0.24075669125829582]"
"[-0.08605833666014362, 0.01164685467664912]","[-0.164239939047889, -0.19503465799099956]","[-0.069480214711897, -0.006103407463223279]","[-0.17777802389597308, -0.2071057043283456]"
"[-0.12080524365224117, -0.019770108764033442]","[-0.18812735159853802, -0.17365363652465315]","[-0.06336716921801697, 0.018063726687748805]","[-0.212451208726037, -0.21441300798722432]"
"[-0.1001424626152511, -0.04080452325439162]","[-0.1545591711413241, -0.2001166313504727]","[-0.09368308352243199, -0.03509858518344723]","[-0.18111817734554997, -0.20452572714921277]"
"[-0.07786521052604453, -0.002014226840768669]","[-0.15650777527520085, -0.17901984316281808]","[-0.07924284831801542, 0.00854201045209181]","[-0.18261409034509452, -0.1916218887631343]"
"[-0.08830739685268832, -0.006511032692621902]","[-0.14958466520081806, -0.18937470714702848]","[-0.06537636243711538, -0.004122674874167629]","[-0.1714192308261293, -0.20732635702365995]"
"[-0.1055773471199554, -0.0118097728656629]","[-0.20506955173856656, -0.21444095145327335]","[-0.07026854406801819, 0.0005577682178467559]","[-0.1952911019301499, -0.21053546853174293]"
"[-0.05439593228822995, -0.010800021888797166]","[-0.1573609023697567, -0.23348994522270428]","[-0.06150913308476158, 0.0092675490926285]","[-0.18622981443820316, -0.21370026895951696]"
"[-0.06967280667219736, 0.013250928551948808]","[-0.15350113187596076, -0.18916857963718978]","[-0.06679830137213956, -0.004068252973530726]","[-0.1881349578233301, -0.2158143325454103]"
"[-0.07484150074821569, 0.017746425032907725]","[-0.18136164189463647, -0.20579122706646302]","[-0.07898280574383851, 0.0030249405948298332]","[-0.19556701954063288, -0.2109786754925526]"
"[-0.09027612703628797, -0.05456986199247613]","[-0.16394507304893108, -0.1997882588111593]","[-0.07762054723897298, -0.0179774688089074]","[-0.17306740215387614, -0.20551366264004717]"
"[-0.0504430066649366, -0.02344851132090701]","[-0.1493250915576472, -0.23542551159155783]","[-0.07789812898580771, -0.017467505544522737]","[-0.1771262129953079, -0.2068898170117866]"
"[-0.07922011749661784, -0.01310716420809577]","[-0.1616959271680604, -0.18245714241337666]","[-0.06603369756671279, 0.004114033554232645]","[-0.1948565421685418, -0.21200910257792116]"
"[-0.07789961767942513, -0.00367153910195126]","[-0.17782481125250862, -0.20142003342511317]","[-0.07918427006719614, -0.014013128680955542]","[-0.18204131647974314, -0.2086003932650666]"
"[-0.12268206525623412, -0.021332180102948173]","[-0.17908946932008904, -0.23017995029685698]","[-0.06964936146906378, -0.0057745126650291054]","[-0.1709324450242324, -0.20064902832341036]"
"[-0.08941249421353285, 0.004762973408064534]","[-0.14864347963013885, -0.1562266625554867]","[-0.07915456125465556, -0.01440925252666421]","[-0.1822562012454873, -0.21066610336445216]"
"[-0.0806558976189869, -0.005573917511629038]","[-0.19013077849624957, -0.20161512370935164]","[-0.09267628568722079, -0.003717901013203436]","[-0.19721259804050273, -0.20828934239412358]"
"[-0.10203324244649695, -0.011657489933044]","[-0.1649653711288793, -0.19018690879143899]","[-0.09359205926142378, 0.014123295733373379]","[-0.17781166015969552, -0.19305287399404608]"
"[-0.07736344741002138, -0.07169517538490966]","[-0.15259426273256074, -0.1926158445432028]","[-0.09121137550721473, -0.03869378350574422]","[-0.1880579240829177, -0.2121132819253002]"
"[-0.11085862909260447, -0.03141182273378954]","[-0.16845984509862924, -0.18995356034007643]","[-0.09101397919424138, -0.01934973928822565]","[-0.1915320172904151, -0.20869726505275701]"
"[-0.0927353895816038, -0.01789356030721282]","[-0.1762573805532782, -0.19569545664304622]","[-0.07352898849743238, -0.0019485880278443206]","[-0.1917659601430678, -0.20692950118132986]"
"[-0.10043113709031215, -0.02068251539626873]","[-0.17543153186737193, -0.20098984469343198]","[-0.10046985234101752, -0.022929000094881823]","[-0.19463881959313853, -0.21403149580850106]"
"[-0.09861423987307814, -0.019147398352093142]","[-0.17024636252453168, -0.19462761314891786]","[-0.06708960349958015, 0.009582055497392402]","[-0.19045861057444205, -0.21116443759248546]"
"[-0.10814259588669968, -0.06474491939914435]","[-0.17403686764269716, -0.2162841516012992]","[-0.08127495368950416, -0.00625707843926248]","[-0.19527725046300162, -0.21518991792880185]"
"[-0.08288152368207324, 0.01297560443721851]","[-0.21727907454922374, -0.2109555485940217]","[-0.07537289147396806, 0.031424063836449585]","[-0.1990804093494667, -0.20897314295394215]"
"[-0.08408240573055037, -0.034162008017701535]","[-0.17920203471990973, -0.23079969244012846]","[-0.07934258608417052, -0.008465056216354818]","[-0.19081691838289697, -0.21672644884603148]"
"[-0.07062664806083681, 0.000926454020138548]","[-0.19794558666669637, -0.2696522898046478]","[-0.06503544585219723, -0.008796408767037567]","[-0.1930645568585405, -0.22928275710936813]"
"[-0.08887776089482395, -0.00038009248030979585]","[-0.17659993738040616, -0.20256633689484838]","[-0.06810768006146953, 0.030639470932121868]","[-0.17375043240653162, -0.19856821762753815]"
"[-0.07995557937291144, 0.005854299684300894]","[-0.18689932546922527, -0.20538682726563087]","[-0.07931800641448072, -0.011961277446820262]","[-0.19504558258938978, -0.22092130980789498]"
"[-0.07915802871728289, -0.007017617960486587]","[-0.16602853073675877, -0.1953200663107704]","[-0.08478606015322696, -0.02923770258098031]","[-0.18260474593973192, -0.21353105162204805]"
"[-0.07724876799411211, -0.001810184570720136]","[-0.1364743977919021, -0.17506665360163612]","[-0.07269334691706439, 0.005399516041764982]","[-0.1758330080868087, -0.19681029880875245]"
"[-0.09283458065763255, -0.01785301768245831]","[-0.13105237145415027, -0.17731319622557523]","[-0.07559695513589355, 0.005970340123347732]","[-0.19360249065581447, -0.2037684782718685]"
"[-0.08914549204574013, -0.032414934551393625]","[-0.14896995312151864, -0.19362953328925778]","[-0.08093190495321277, -0.007777782651400697]","[-0.19237748838279037, -0.2169297399488316]"
"[-0.1278126004176687, -0.03037875331689164]","[-0.17009460164407936, -0.19318657383829582]","[-0.09131367364795678, -0.006976038446127806]","[-0.19360997416764586, -0.20632603722957524]"
"[-0.09990169831496185, -0.01910732804106944]","[-0.2088936066331539, -0.22148054496452602]","[-0.07710319267939614, 0.0032000802662003245]","[-0.19810108281666933, -0.2223836906666804]"
"[-0.10290607746975144, -0.010294389713585858]","[-0.14899621692555695, -0.1806217269051263]","[-0.08550856488015514, -0.015724121474996196]","[-0.1916849226375826, -0.20942276422858008]"
